15,16,16,14,8,20,17,16,20,26,27,-6,-62,88,73,17,6,494,12,12,14,18,6,14,27,7,39,65,39,75,0,10,0,282
16,17,17,15,9,15,23,28,30,32,31,-46,-103,75,122,13,4,494,12,15,21,30,-6,-15,-4,13,47,172,43,41,0,10,0,141
14,16,17,13,8,13,13,11,11,6,4,-25,-97,70,64,16,1,489,12,11,10,9,-3,-18,6,4,49,101,43,37,1822,7,253,397
16,17,18,14,8,13,20,27,32,26,26,-11,-34,47,103,13,2,511,10,13,20,27,-3,0,11,10,53,303,52,2,0,10,368,917
21,23,23,19,10,17,18,18,25,30,28,-47,-107,21,79,22,10,472,16,15,14,21,11,33,-6,28,43,-69,35,106,409,18,163,516
15,16,17,14,8,15,18,21,24,26,27,33,-48,116,106,18,2,501,13,12,12,15,-8,17,3,1,54,262,50,4,0,3,0,228
19,21,21,18,10,17,19,28,48,27,26,-55,-118,50,56,20,1,481,17,18,26,36,1,-1,17,2,32,-34,32,148,0,23,289,209
15,17,17,14,8,17,15,18,25,25,26,-37,-103,79,80,15,4,507,12,13,16,20,10,32,39,8,52,235,50,-5,0,2,368,658
17,19,19,16,9,16,20,19,28,26,25,-45,-135,50,48,15,3,494,12,14,17,25,13,32,17,1,53,239,48,19,233,5,368,516
17,18,19,16,9,16,18,25,42,29,28,-48,-139,42,61,15,3,503,13,15,20,27,-2,3,9,4,40,174,40,66,0,10,0,657
22,22,23,20,10,22,26,26,37,23,24,1,-25,52,46,21,6,469,15,15,18,29,-8,-11,-31,18,54,80,40,55,1549,14,54,564
20,22,22,18,8,18,21,18,24,26,24,-25,-82,22,33,15,7,480,13,14,17,22,-15,9,-2,17,57,196,44,25,1416,9,82,677
17,21,21,16,7,20,25,27,29,26,28,48,-10,90,109,19,5,491,15,17,20,26,-28,-20,-9,14,53,282,49,22,1284,5,291,774
14,19,21,13,7,14,16,19,28,27,27,-16,-59,95,112,15,6,495,11,11,15,25,-18,-1,30,13,39,72,41,92,0,16,0,276
10,15,16,11,4,15,19,22,30,27,27,37,-16,106,91,15,5,501,12,15,19,22,-17,-19,31,13,54,258,46,2,0,3,0,675
20,24,24,20,10,20,24,24,25,25,25,-7,-35,66,130,17,4,505,14,16,22,26,-8,-69,-16,25,52,264,49,6,0,3,291,789
21,23,23,20,10,19,27,34,37,26,27,-19,-78,36,90,23,5,492,19,21,25,30,-23,-2,0,13,48,192,46,65,0,11,329,387
15,19,20,16,6,15,16,18,19,23,24,-23,-15,40,107,13,4,505,10,11,13,14,-7,4,-1,19,53,252,51,-1,1335,1,329,995
21,23,23,18,8,17,17,12,17,34,30,-38,-53,92,72,20,6,477,15,13,13,20,14,15,16,14,46,90,39,60,112,14,193,557
20,21,21,18,8,19,21,26,22,27,27,4,-71,76,67,12,6,493,10,12,15,17,-2,63,74,13,54,258,49,4,41,4,414,659
15,19,20,15,7,18,20,20,25,25,27,1,-82,54,69,20,4,508,15,15,15,15,1,65,96,-4,41,166,39,78,0,10,370,775
18,19,19,17,9,17,23,24,29,26,25,-32,-106,38,87,18,2,507,14,18,22,29,-27,-13,18,8,49,142,48,28,0,7,0,729
15,16,16,13,7,13,13,18,41,28,26,-34,-91,39,48,11,1,471,8,10,18,33,11,32,36,-3,45,22,37,87,516,16,99,405
