11,15,15,13,9,14,15,21,37,27,26,-34,-124,47,40,12,3,491,10,12,17,30,5,23,48,6,41,121,41,72,180,13,221,507
9,13,14,12,7,9,13,17,29,30,31,-48,-113,47,54,13,3,491,11,13,17,26,-5,9,34,0,39,63,30,96,0,16,0,170
5,8,9,6,3,4,4,9,17,29,30,-7,-72,58,77,9,6,503,5,5,9,13,27,33,28,-6,32,-10,33,97,0,16,0,109
4,10,11,8,3,9,10,14,18,20,22,40,11,82,96,10,6,509,8,8,11,14,8,48,-1,4,39,131,43,70,0,11,0,814
9,15,15,12,6,10,13,14,17,27,26,21,-71,31,67,14,2,507,10,12,13,16,2,14,22,6,53,269,48,3,0,2,0,962
4,16,16,9,2,6,13,18,19,26,24,10,-67,36,96,9,2,507,8,9,13,16,13,32,26,10,57,331,51,-25,89,1,221,995
13,17,17,14,10,12,14,16,20,29,29,-41,-87,59,40,20,2,498,15,14,13,18,-7,-8,15,0,37,79,37,116,0,15,0,276
11,15,16,13,8,10,17,23,29,24,25,-29,-63,20,95,12,1,499,10,13,17,29,0,9,-2,11,52,239,48,37,0,8,290,867
9,13,14,10,7,14,14,16,20,28,29,-37,-78,41,51,16,6,466,12,12,11,18,-9,-13,-1,1,42,-42,34,113,25,13,369,231
11,13,13,11,7,13,14,16,23,32,29,-47,-100,9,27,15,5,460,12,13,15,26,13,33,32,5,50,-60,36,57,1578,9,52,407
4,7,7,5,3,4,11,16,32,34,36,-54,-37,39,61,10,0,477,7,10,16,26,13,26,16,-9,19,-109,20,286,41,24,80,111
6,8,9,6,4,10,9,11,15,27,30,69,88,66,61,14,7,493,9,9,9,11,2,22,14,-9,29,-5,23,263,0,16,0,21
7,10,10,8,6,18,18,15,22,25,25,124,86,71,82,11,6,496,9,10,12,15,-15,-11,2,6,31,58,27,224,0,17,0,233
5,6,6,4,3,8,12,16,25,25,24,48,16,24,37,6,1,490,5,7,12,18,5,14,11,-1,42,30,32,178,0,15,0,229
4,6,6,3,3,6,6,9,11,24,21,16,-38,13,51,5,0,479,4,5,7,10,2,17,10,3,52,111,43,112,0,9,97,493
9,12,12,9,7,18,13,13,16,25,26,36,-26,15,81,15,5,481,11,12,13,16,7,-16,-3,2,53,149,45,113,0,8,254,355
9,15,16,10,7,14,15,15,21,25,24,-23,-74,9,48,12,2,473,9,10,13,19,-1,22,4,11,56,152,43,38,737,6,65,484
9,11,11,10,6,11,12,11,22,32,36,-35,-90,19,35,15,3,480,11,11,12,18,-3,22,8,7,51,123,39,77,348,14,97,256
11,16,16,14,8,18,20,25,28,27,27,15,3,38,92,17,2,488,14,15,20,25,-15,-2,-13,7,50,186,45,94,0,8,413,325
